0.30 агрн. инарҭбааны	0,30 грн. подробнее
%s {tag}кап.{/tag}/%s {tag}кап.{/tag}/%s {tag}кап.{/tag}	%s {tag}коп.{/tag}/%s {tag}коп.{/tag}/%s {tag}коп.{/tag}
%s {tag}мааҭ.{/tag}/%s {tag}мааҭ.{/tag}/%s {tag}мааҭ.{/tag}	%s {tag}руб.{/tag}/%s {tag}руб.{/tag}/%s {tag}руб.{/tag}
%s {tag}тнг.{/tag}	%s {tag}тнг.{/tag}
Standalone-аԥшьы	Standalone-приложение
Student (Bachelor's)	Студент (бакалавр)
Student (Bachelor's)	Студентка (бакалавр)
Student (Master's)	Студент (магистр)
Student (Specialist)	Студент (специалист)
SWF-афаил ацҵара	Добавить SWF-файл
%s ааԥхьара/%s ааԥхьарак/%s ааԥхьарак	%s приглашение/%s приглашения/%s приглашений
%s абел. мааҭ.	%s бел. руб.
%s абжьы/%s бжьык/%s бжьык	%s голос/%s голоса/%s голосов
%s абжьы	%s голос/%s голоса/%s голосов
%s авидео/%s авидеоқәа/%s авидеоқәа	%s видео/%s видео/%s видео
%s авидеонҵамҭа/%s авидеонҵамҭақәа/%s авидеонҵамҭақәа	%s видеозапись/%s видеозаписи/%s видеозаписей
[%s авидеонҵамҭа]/[%s авидеонҵамҭақәа]/[%s авидеонҵамҭақәа]	[%s видеозапись]/[%s видеозаписи]/[%s видеозаписей]
%s авидеонҵамҭак/%s видеонҵамҭак/%s видеонҵамҭак	%s видеозапись/%s видеозаписи/%s видеозаписей
%s авидеонҵамҭак/%s-видеонҵамҭак/%s-видеонҵамҭак	%s видеозапись/%s видеозаписи/%s видеозаписей
%s адәныҟатәи саитк/%s адәныҟатәи асаитқәа/%s адәныҟатәи асаитқәа	%s внешний сайт/%s внешних сайта/%s внешних сайтов
%s адон/%s адонцәа/%s адонцәа	%s дон/%s дона/%s донов
%s ажәеиларкка/%s ажәеиларккак/%s ажәеиларккак	%s комментарий/%s комментария/%s комментариев
%s ажәеиларкка/%s ажәеиларкқәа/%s ажәеиларкқәа	%s комментарий/%s комментария/%s комментариев
%s ажәеиларккак/%s ажәеиларккак/%s ажәеиларккак	%s комментарий/%s комментария/%s комментариев
%s ажәеиларккак/%s-ажәеиларккак/%s-ажәеиларккак	%s комментарий/%s комментария/%s комментариев
%s ажәеиларккак/%s-ажәеларккак/%s-ажәеиларккак	%s комментарий/%s комментария/%s комментариев
%s ажәеиларккак аарԥшра/ %s-ажәеиларккак аарԥшра/ %s-ажәеиларккак аарԥшра	Показать %s комментарий/Показать все %s комментария/Показать все %s комментариев
%s ажәеиларккак аарԥшра/ %s-ажәеиларккак аарԥшра/ %s-ажәеиларккак аарԥшра	Показать %s сообщение/Показать все %s сообщения/Показать все %s сообщений
%s ажәеиларкка ҿыцк {link}/%s ажәеиларкка ҿыцқәа {link}/%s ажәеиларкка ҿыцқәа {link}	%s новый комментарий {link}/%s новых комментария {link}/%s новых комментариев {link}
%s азгәаҭак/%s згәаҭақәак/%s згәаҭақәак	%s отметка/%s отметки/%s отметок
%s азгәаҭақәак «Исгәаԥхоит»/%s азгәаҭақәак «Исгәаԥхоит»/%s азгәаҭақәак «Исгәаԥхоит»	%s лайк/%s лайка/%s лайков
%s азхьаԥшҩык/%s азхьаԥшҩыцәа/%s азхьаԥшҩыцәа	%s подписчик/%s подписчика/%s подписчиков
%s азҵаара/%s зҵаарак/%s зҵаарак	%s вопрос/%s вопроса/%s вопросов
%s азыӡырҩрак/азыӡырҩрақәа %s /азыӡырҩрақәа %s	%s прослушивание/%s прослушивания/%s прослушиваний
%s аӡырҩы/%s аӡырҩцәа/%s аӡырҩцәа	%s слушатель/%s слушателя/%s слушателей
%s аӡырҩык/%s аӡырҩцәа/%s аӡырҩцәа	%s слушатель/%s слушателя/%s слушателей
%s аиасрак/%s аиасрак/%s аиасрақәа	%s переход/%s перехода/%s переходов
%s аилазааратә гәыԥк/аилазааратә гәыԥқәа %s /аилазааратә гәыԥқәа %s	%s сообщество/%s сообщества/%s сообществ
%s аилкаанҵа/%s аилкаанҵақәа/%s аилкаанҵақәа	%s статья/%s статьи/%s статей
%s аиҭагаҩык/%s аиҭагаҩцәа/%s аиҭагаҩцәа	%s переводчик/%s переводчика/%s переводчиков
%s аиҿцәажәара/%s еиҿцәажәарак/%s еиҿцәажәарак	%s диалог/%s диалога/%s диалогов
%s аклип/%s аклипқәа/%s аклипқәа	%s клип/%s клипа/%s клипов
%s аҟынӡа	До %s
%s-алахәаҩк/%s-алахәаҩык/%s-алахәаҩык	%s участник/%s участника/%s участников
%s алахәаҩык/%s алахәҩык/%s алахәҩык	%s участник/%s участника/%s участников
%s алахәцәа/%s алахәцәа/%s алахәцәа	%s участник/%s участника/%s участников
%s алахәҩы/%s алахәаҩцәа/%s алахәаҩцәа	%s участник/%s участника/%s участников
%s алахәҩы/%s алахәцәа/%s алахәцәа	%s участник/%s участника/%s участников
%s алахәҩы/%s алахәҩцәа/%s алахәҩцәа	%s участник/%s участника/%s участников
%s алахәҩы/%s алахәҩыцәа/%s алахәҩыцәа	%s подписчик/%s подписчика/%s подписчиков
%s алахәҩы дзиасӡом/%s алахәцәа зиасӡом/%s алахәцәа зиасӡом	%s участник не сможет прийти/%s участника не смогут прийти/%s участников не смогут прийти
%s алахәҩык/%s алахәцәа/%s алахәцәа	%s участник/%s участника/%s участников
%s алахәҩы ҿыц/%s ҿыц алахәаҩцәа/%s ҿыц алахәаҩцәа	%s новый участник/%s новых участника/%s новых участников
%s Алкаахықәкы/%s Алкаахыкқәа/%s Алкаахыкқәа	%s тема/%s темы/%s тем
%s алԥшаагак/%s алԥшаагақәа/%s алԥшаагақәа	%s подборка/%s подборки/%s подборок
%s алҵшәа/%s алҵшәақәа/%s алҵшәақәа	%s результат/%s результата/%s результатов
%s альбом арбара/%s альбомк арбара/%s альбомк арбара	Показать %s альбом/Показать все %s альбома/Показать все %s альбомов
%s альбомк/%s альбомк/%s альбомк	%s альбом/%s альбома/%s альбомов
%s альбомк шәымоуп/%s альбомк шәымоуп/%s альбомк шәымоуп	У вас %s альбом/У вас %s альбома/У вас %s альбомов
%s альбомқәа/%s альбомқәа/%s альбомқәа	%s альбом/%s альбома/%s альбомов
%s амза/%s мз/%s мз	%s месяц/%s месяца/%s месяцев
%s амш/%s мш/%s мш(ы)	%s день/%s дня/%s дней
%s анҵара/%s нҵара/%s анҵара	%s запись/%s записи/%s записей
%s аԥшранҵа {count} рҟынтәи	%s из {count}
%s аԥшранҵа {count} рҟынтәи	Фотография %s из {count}
%s аԥшранҵа/%s аԥшранҵа/%s аԥшранҵа	%s фотография/%s фотографии/%s фотографий
%s аԥшранҵа/%s аԥшранҵақәа/%s аԥшранҵақәа	%s фотографии/%s фотографий/%s фотографий
%s аԥшранҵа/%s ԥшанҵрак/%s аԥшанҵра	%s фотография/%s фотографии/%s фотографий
%s аԥшранҵа/%s ԥшранҵақәа/%s ԥшранҵақәа	%s фотография/%s фотографии/%s фотографий
%s аԥшранҵа ахсаала аҿы/%s аԥшранҵа ахсаала аҿы/%s аԥшранҵа ахсаала аҿы	%s фотография на карте/%s фотографии на карте/%s фотографий на карте
%s аԥшранҵақәа/%s аԥшранҵақәа/%s аԥшранҵақәа	%s фотографии/%s фотографиях/%s фотографиях
%s аԥшранҵа қәҿиарала ииагоуп альбом ахь {album}. {link}Аԥыхра{/link}/%s аԥшранҵақәа қәҿиарала ииагоуп альбом ахь{album}. {link}Аԥыхра{/link}/%s аԥшранҵақәа қәҿиарала ииагоуп альбом ахь {album}. {link}Аԥыхра{/link}	%s фотография успешно перенесена в альбом {album}. {link}Отмена{/link}/%s фотографии успешно перенесены в альбом {album}. {link}Отмена{/link}/%s фотографий успешно перенесены в альбом {album}. {link}Отмена{/link}
%s ардырра/%s ардыррақәа/%s ардыррақәа	%s уведомление/%s уведомления/%s уведомлений
%s асаит аҿы	%s на сайте
%s атауар/%s атауарқәа/%s атауарқәа	%s товар/%s товара/%s товаров
