Аилазааратә гәыԥ архиагақәа	Настройки сообщества
Ажәеиларккақәа рҟнытә аҽаныхра	Отписаться от комментариев
Аилазааратә гәыԥ аҿы аанкылара	Заблокировать в сообществе
Аилацәажәаратә ԥшранҵа аԥсахра	Изменить фотографию беседы
Атехника ақәыргылареи арҽеиреи	Установка и ремонт техники
Ацҳамҭақәа рҭоурых ала аԥшаара	Поиск по истории сообщений
Аҵыхәтәантәи аҭитәқәа раарԥшра	Показать предыдущие товары
Аелектронтә ԥошьҭахь анаӡатҭатә ҭыӡҭыԥ	Доступ к адресу электронной почты
Абжьынҵамҭақәа раарԥшра	Показать аудиозаписи
Абилеҭқәеи аныҟәарақәеи	Билеты и путешествия
Аблогаҿы анҵамҭа ҿыцқәа	Новые записи в блоге
Ажәабжьқәа ахь аиасра »	Перейти к новостям »
Ажәамаӡақәа еиқәшәаӡом.	Пароли не совпадают.
Аибадырреи аиҿцәажәареи	Знакомство и общение
Ақәҿыҭрақәа рырхиагақәа	Настройки оповещений
Ақтивациа азура ахәҭоуп	Необходима активация
Аполит. дунеихәаԥшышьа:	Полит. предпочтения:
Аԥҵаҩ ила ианыхын атема	Тема удалена автором
Аԥҵаҩы иҵәахит аҭоурых.	Автор скрыл историю.
Аԥшранҵақәа реиқәырхара	Сохранить фотографии
атәылауаҩра ҭаацәароуп.	в гражданском браке.
Атранслиациа ахыркәшара	Завершить трансляцию
Аҭоурых аҿы адныҳәалара	Поздравить в истории
Афаил қәҿиарала иныхуп.	Файл успешно удалён.
Ахҭысқәа зегьы раарԥшра	Показать все события
Аҵара ианалагаз ашықәс:	Год начала обучения:
Еиҳау аҵараиурҭа ацҵара	Добавить университет
Ишәыдаагалоу ажәабжьқәа	Предлагаемые новости
Хәажәкыра 8 адныҳәалара	Поздравить с 8 Марта
Шәара ишьақәшәырӷәӷәахьеит шәҭел аномери шәелектронтә ԥошьҭеи.	Вы уже подтвердили номер телефона и электронную почту.
Ари аӡыргара азҿлымҳара амаӡам.	Такая реклама не интересна.
Ахәмарра азин аҭара шәаудионҵамҭақәа рахь анеира	Разрешить игре доступ к вашим аудиозаписям
Ахәмарра азин аҭара шәвидеонҵамҭақәа рахь анеира	Разрешить игре доступ к вашим видеозаписям
Ианышәҵа азхьарԥш изеԥшразаалак ВКонтакте адаҟьа	Введите ссылку на любую страницу ВКонтакте
Аилак аҿы макьана абжьынҵамҭақәа ыҟаӡам.	В сообществе пока нет аудиозаписей.
Архиагақәа қәҿиарала еиқәырхоуп.	Настройки успешно сохранены.
Аҭахҳәага аԥыхра насгьы аҽаныхра	Отменить заявку и отписаться
Ҳшәыҳәоит, иашәырбарц ахцәажәара	Пожалуйста, введите описание
Иашәырба алахәылаҩ ихьӡ.	Введите имя партнёра.
Адаҟьа аиҭашьақәыргылара	Восстановить страницу
Аиҭарҿыцразы абжьгарақәа	Советы по продвижению
Алкаақәа рахь аиагарақәа	Добавления в закладки
Аметро ииашамкәа иарбоуп	Метро указано неверно
Амузыка ацәаныррақәа рзы	Музыка под настроение
Аԥсихологиеи агәабзиареи	Психология и здоровье
Афинансқеи абухгалтериеи	Финансы и бухгалтерия
